,parent_company_name,total_air_pollutants_kg
382,ALLOY PRODUCTS CORP,5.39320888
383,ALLOY RESOURCES,60.10094
384,ALLOY STEEL TREATING CO INC,17483.70364
385,ALLOYS CLEANING INC,9.07184
386,ALLTECH INC,1360.776
387,ALM HOLDING CO,193.664722022996
388,ALMATIS BURNSIDE INC,1.09769264
389,ALMOND PRODUCTS INC,1759.0297759999999
390,ALOHA PETROLEUM,2985.5425439999995
391,ALON USA ENERGY INC,116480.9741056
392,ALON USA LP,136412.71376959997
393,ALP LIGHTING COMPONENTS INC,0.0
394,ALPHA & OMEGA SEMICONDUCTOR,56.245408
395,ALPHA ASSOCIATES INC,7402.167848
396,ALPHA CHEMICAL SERVICES INC,0.0
397,ALPHA CIRCUIT CORP,14.968536
398,ALPHA CORP,10695.862653119999
399,ALPHA EMS,0.0
400,ALPHA GENERAL SERVICES INC,11147.0234
401,ALPHA INVESTMENT CASTING LLC,0.0
402,ALPHA METAL FINISHING CO,0.0
403,ALPHA OMEGA RECYCLING INC,13488.011712
404,ALPHA PRECISION GROUP SINTERED METALS,0.0
405,ALPHA US BIDCO INC.,19.92176064
406,ALPHA ZETA HOLDINGS INC,171.004184
407,ALSTOM INC,0.42184056000000003
408,ALTAIR CORP,1613.4267439999999
409,ALTANA,156.48923999999997
410,ALTEC ENGINEERING INCOPORATED,43345.251520000005
411,ALTEC INDUSTRIES INC,37356.54891871999
412,ALTEK ELECTRONICS INC,0.146963808
413,ALTENLOH BRINCK & CO US INC,8945.741424
414,ALTICOR INC,2922.8107704000004
415,ALTIVIA CORP,190339.90377600002
416,ALTIVIA SPECIALTY CHEMICALS LLC,1454.3883169599999
417,ALTO INGREDIENTS INC,2691.614928
418,ALTON STEEL INC,3747.123512
419,ALTOONA TERMINALS - DE LLC/ALTOONA TERMINAL,2912.0606399999997
420,ALTRA CORP,1.37891968
421,ALTRA INDUSTRIAL MOTION,0.0
422,ALTRIA GROUP INC,134260.28365199998
423,ALTRON INC,0.0
424,ALTRONIC LLC,0.0
425,ALTUS CAPITAL PARTNERS,0.0
426,ALU-BRA FOUNDRY INC,657.8399416799999
427,ALUDYNE-COLUMBUS LLC,19410.362875519997
428,ALUMACRAFT BOAT CO,2.26796
429,ALUMINUM COIL ANODIZING CORP,191.415824
430,ALUMINUM FOUNDRY OF WISCONSIN LLC,4.53592
431,ALUMINUM PRECISION PRODUCTS INC,0.0
432,ALUMINUM RECOVERY TECHNOLOGY INC,3549.64769888
433,ALUMINUM SHAPES LLC,487.9289144
434,ALUMINUM WHEEL TECHNOLOGIES INC,0.0
435,ALVAR RESINS INC,571.52592
436,ALZO INTERNATIONAL INC,0.0
437,AM GENERAL HOLDINGS LLC,6773.035744
438,AM/NS CALVERT LLC,7918.809136
439,AMAC ENTERPRISES INC,251.74355999999997
440,AMACS PROCESS TOWER INTERNALS,194.137376
441,AMALIE OIL CO,0.0
442,AMANO USA HOLDINGS INC.,0.0
443,AMAZONCOM LLC,6954.52697504
444,AMBASSADOR SUPPLY LLC,295.288392
445,AMBER CHEMICAL INC,1524.0691199999999
446,AMCOR LTD,288.03092
447,AMELIA LUMBER CO INC,0.0
448,AMEREN CORP,347844.1060525738
449,AMERIBOLT INC,0.0
450,AMERICA FUJIKURA LTD,161.478752
451,AMERICA'S CATCH INC,0.0
452,AMERICAN & EFIRD LLC,21028.071528
453,AMERICAN ACRYL LLC,12563.137623999999
454,AMERICAN ACRYLIC CORP,2396.780128
455,AMERICAN AIR FILTER CO INC,123.55846079999999
456,AMERICAN AIR LIQUIDE HOLDINGS INC,30669.397644775996
457,AMERICAN AIR LIQUIDE INC,1226.512768
458,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,20.41164
459,AMERICAN AXLE & MANUFACTURING HOLDINGS INC.,631.97612584
460,AMERICAN AXLE & MANUFACTURING INC,554.9244528
461,AMERICAN BATH GROUP,167506.98968
462,AMERICAN BATH GROUP LLC,625547.820016
463,AMERICAN BILTRITE INC,48294.393832
464,AMERICAN BITUMINOUS POWER PARTNERS LP,94017.57666606162
465,AMERICAN BLENDING & FILLING,28.63979888
466,AMERICAN BLUEGRASS MARBLE CO INC,2340.53472
467,AMERICAN BRONZE CORP,467.653352
468,AMERICAN CAST IRON PIPE CO,26042.703452960002
469,AMERICAN CASTING & MANUFACTURING CORP,0.09865626
470,AMERICAN CHEMET CORP,13078.418136
471,AMERICAN COLORS INC,7942.849512000001
472,AMERICAN COMPOSITES ENGINEERING INC,1316.777576
473,AMERICAN COMPUTER DEVELOPMENT INC,0.0
474,AMERICAN COMPUTER DEVELOPMENT INC (DBA ACDI),0.0
475,AMERICAN CRAFT BREWERY LLC,0.0
476,AMERICAN CRYSTAL SUGAR CO,496498.34795872157
477,AMERICAN DEHYDRATED FOODS INC,0.0
478,AMERICAN DISTILLATION INC,8585.59391192
479,AMERICAN ELECTRIC POWER,843429.2012042562
480,AMERICAN ELECTRONIC COMPONENTS,0.23133192
481,AMERICAN ENERGY CORP,0.46266384
482,AMERICAN ENVIRONMENTAL CONTAINER CORP,45159.61952
483,AMERICAN EXCELSIOR CO,0.0
484,AMERICAN FABRICATION INC,0.0
485,AMERICAN FENCE & SECURITY CO INC,1.360776
486,AMERICAN FLUX & METAL LLC,0.0
487,AMERICAN FOODS GROUP LLC,17574.5581176
488,AMERICAN FOUNDRY GROUP LLC,294.24059448
489,AMERICAN FUEL CELLS & COATED FABRICS (AMFUEL),7643.0252
490,AMERICAN GFM CORP,2711.119384
491,AMERICAN GREETINGS CORP,5839.20774992
492,AMERICAN HEAT TREATING INC,45.3592
493,AMERICAN HOLLOW BORING CO,0.0
494,AMERICAN HONDA MOTOR CO INC,378866.6501890479
495,AMERICAN HOWA KENTUCKY INC,113.398
496,AMERICAN HOWA OF KENTUCKY,278.62342192
497,AMERICAN ITALIAN PASTA CO,10205.82
498,AMERICAN JETWAY CORP,1247.378
499,AMERICAN LIGHTING BRANDS,0.12700576000000002
500,AMERICAN MAATCO CBP,0.16782903999999998
501,AMERICAN METAL CHEMICAL CORP,0.0
502,AMERICAN METAL COATINGS,0.0
503,AMERICAN METAL FIBERS INC,8.618248000000001
504,AMERICAN METAL TREATING INC,861.8248
505,AMERICAN MICRO PRODUCTS INC,0.0
506,AMERICAN NICKELOID CO,5439.475264000001
507,AMERICAN ORTHODONTICS CORP,0.0
508,AMERICAN OUTDOOR BRANDS CORP,1.4968536
509,AMERICAN PACIFIC CORP,1305.4377759999998
510,AMERICAN PACKAGING CORP,5047.47198576
511,AMERICAN PANEL CORP,0.0
512,AMERICAN PHOENIX INC,45.359199999999994
513,AMERICAN PHOENIX INC  5500 WAYZATA BLVD  GOLDAN VALLEY MN,124.66295731999999
514,AMERICAN PLANT FOOD CORP GALENA PARK,0.0
515,AMERICAN POLYMERS CORP,1040.5400479999998
516,AMERICAN PRECISION INDUSTRIES,4.53592
517,AMERICAN PRODUCTS INC,0.0
518,AMERICAN RAILCAR INDUSTRIES INC,48244.55314304
519,AMERICAN REFINING GROUP INC,47648.8157067784
520,AMERICAN RENOLIT CORP,10054.136113648
521,AMERICAN RENOLIT CORP LA,189.147864
522,AMERICAN ROLLER BEARING CO,6595.681272
523,AMERICAN ROLLER CO LLC,0.0
524,AMERICAN SHOWA INC,33.676801962400006
525,AMERICAN SPINCAST INC,453.592
526,AMERICAN SPIRALWELD PIPE CO LLC,0.0
527,AMERICAN STAINLESS STEEL CORP,0.0
528,AMERICAN STANDARD BRANDS CO,84029.73236799998
529,AMERICAN STANDARD CIRCUITS INC,4.53592
530,AMERICAN STITCHCO INC  DBA AMERICAN EPOXY SCIENTIFIC,882.009644
531,AMERICAN SUGAR REFINING INC,0.0
532,AMERICAN TANK & FABRICATING CO,49.895120000000006
533,AMERICAN TANK & VESSEL INC,332.00212848
534,AMERICAN TIMBER & STEEL,0.0
535,AMERICAN TINNING & GALVANIZING CO,868.1750880000001
536,AMERICAN TRIM LLC,5413.910818879999
537,AMERICAN TURNED PRODUCTS,9.07184
538,AMERICAN VANGUARD CORP,999.0214114640002
539,AMERICAN WAX CO,0.0
540,AMERICAN WIRE & CABLE,0.0
541,AMERICAN WOODMARK CORP,75850.0601594808
542,AMERICAN ZINC RECYCLING LLC,22283.419139440004
543,AMERICAS MINING CORP,246610.82412675925
544,AMERICAS STYRENICS LLC,78136.38841288
545,AMERICH CORP,17041.02959944
546,AMERICHEM INC,110.222856
547,AMERICHEM SALES CO,308.3075710208
548,AMERITIES HOLDINGS LLC,3295.360877384451
549,AMERITYRE CORP,0.0
550,AMERWAY INC,0.5987414400000001
551,AMES FIRE & WATERWORKS,32.658623999999996
552,AMES GOLDSMITH CORP,8884.960095999999
553,AMETEK INC,20176.722349601827
554,AMETEK INC.,2177.2416
555,AMFINE CHEMICAL CORP,2700.7548068
556,AMG ADVANCED METALLURGICAL GROUP N.V.,105.312269008
557,AMG RESOURCES CORP,0.0
558,AMG TITANIUM ALLOYS & COATINGS,5452.629432
559,AMG VANADIUM LLC,11899.99519184
560,AMGEN INC,115.63420856
561,AMITRON CORP,72.8241956
562,AMORIM CORK COMPOSITES,0.0
563,AMPAC FINE CHEMICALS LLC,2363.89924392
564,AMPACET CORP,78.04957544
565,AMPCO-PITTSBURGH CORP,913.58871904
566,AMPEL INC,4.18211824
567,AMPHENOL CORP,9385.581421744
568,AMRAIL CORP,5451.268656
569,AMREX CHEMICAL CO INC,0.0
570,AMROD CORP,3573.397776
571,AMSOIL INC-AMSOIL CENTER,533.877784
572,AMSTED INDUSTRIES,5665.36408
573,AMSTED INDUSTRIES INC,10308.27568720552
